c1000000,Tomlinson,Sean, ,CS50,2,TomlinsonS4@cardiff.ac.uk,0
c1000001,Holloway,Josh, ,CS50,2,HollowayJ@cardiff.ac.uk,0
c1000002,Craig,Max, ,CS50,2,CraigM@cardiff.ac.uk,0
c1000003,Burns,Riley, ,CS50,2,BurnsR@cardiff.ac.uk,0
c1000004,Marsh,Daniel, ,CS50,2,MarshD@cardiff.ac.uk,0
c1000005,Wells,Sienna, ,CS50,2,WellsS@cardiff.ac.uk,0
c1000006,Stokes,Jake, ,CS50,2,StokesJ@cardiff.ac.uk,0
c1000007,Carroll,Freddie, ,CS50,2,CarrollF@cardiff.ac.uk,0
c1000008,Parkes,Jessica, ,CS50,2,ParkesJ@cardiff.ac.uk,0
c1000009,Whitehouse,Rhys, ,CS50,2,WhitehouseR@cardiff.ac.uk,0
c1000010,Kirby,Archie, ,CS50,2,KirbyA@cardiff.ac.uk,0
c1000011,Bates,Gabriel, ,CS50,2,BatesG@cardiff.ac.uk,0
c1000012,Byrne,Sean, ,CS50,2,ByrneS@cardiff.ac.uk,0
c1000013,Bevan,Riley, ,CS50,2,BevanR@cardiff.ac.uk,0
c1000014,Mason,Logan, ,CS50,2,MasonL@cardiff.ac.uk,0
c1000015,Brown,Patrick, ,CS50,2,BrownP@cardiff.ac.uk,0
c1000016,Benson,Bailey, ,CS50,2,BensonB@cardiff.ac.uk,0
c1000017,Dennis,Noah, ,CS50,2,DennisN@cardiff.ac.uk,0
c1000018,Pickering,Owen, ,CS50,2,PickeringO@cardiff.ac.uk,0
c1000019,Baxter,Holly, ,CS50,2,BaxterH@cardiff.ac.uk,0
c1000020,Wade,Kieran, ,CS50,2,WadeK@cardiff.ac.uk,0
c1000021,Hall,Connor, ,CS50,2,HallC@cardiff.ac.uk,0
c1000022,Gray,Harriet, ,CS50,2,GrayH@cardiff.ac.uk,0
c1000023,Allen,Sophia, ,CS50,2,AllenS@cardiff.ac.uk,0
c1000024,Henderson,Bradley, ,CS50,2,HendersonB@cardiff.ac.uk,0
c1000025,Mills,Alexandra, ,CS50,2,MillsA@cardiff.ac.uk,0
c1000026,Summers,Tom, ,CS50,2,TomS@cardiff.ac.uk,0
c1000027,Hart,Billy, ,CS50,2,HartB@cardiff.ac.uk,0
c1000028,Moran,Yasmin, ,CS50,2,MoranY@cardiff.ac.uk,0
c1000029,Dyer,Jennifer, ,CS50,2,DyerJ@cardiff.ac.uk,0
c1000030,Hodgson,Leo, ,CS50,2,HodgsonL@cardiff.ac.uk,0
c1000031,Benson,Rebecca, ,CS50,2,BensonR@cardiff.ac.uk,0
c1000032,Burgess,Isabella, ,CS50,2,BurgessI@cardiff.ac.uk,0
c1000033,Duffy,Jessica, ,CS50,2,DuffyJ@cardiff.ac.uk,0
c1000034,Allen,Joseph, ,CS50,2,AllenJ@cardiff.ac.uk,0
c1000035,King,Nicholas, ,CS50,2,KingN@cardiff.ac.uk,0
c1000036,Kaur,Samuel, ,CS50,2,KaurS@cardiff.ac.uk,0
c1000037,White,Thomas, ,CS50,2,WhiteT@cardiff.ac.uk,0
c1000038,O'Donnell,Demi, ,CS50,2,O'DonnellD@cardiff.ac.uk,0
c1000039,Powell,Martha, ,CS50,2,PowellM@cardiff.ac.uk,0
